,Ticker,FiscalYear,CashFlow,BookValue,Earnings,5YrReturn%
1322,KMB,2022-12-31,2733000000.0,547000000.0,1934000000.0,32.986367651087825
1323,KMB,2021-12-31,2730000000.0,514000000.0,1814000000.0,47.332295781954606
1324,KMB,2020-12-31,3729000000.0,626000000.0,2352000000.0,23.989339354586928
1325,KMB,2019-12-31,2736000000.0,-33000000.0,2157000000.0,39.64033339373076
1326,KMB,2018-12-31,2970000000.0,-287000000.0,1410000000.0,33.268390807692946
1327,KIM,2022-12-31,861114000.0,9515508000.0,125976000.0,50.08672964720387
1328,KIM,2021-12-31,618875000.0,9899389000.0,844059000.0,28.309436478826267
1329,KIM,2020-12-31,589913000.0,5608044000.0,1000833000.0,-25.30537623970619
1330,KIM,2019-12-31,583628000.0,4864892000.0,410605000.0,7.03495645195553
1331,KIM,2018-12-31,637936000.0,5333804000.0,497795000.0,-5.352453891841193
1332,KMI,2022-12-31,4967000000.0,30742000000.0,2548000000.0,33.351857067819694
1333,KMI,2021-12-31,5708000000.0,30823000000.0,1784000000.0,-1.6284848691152962
1334,KMI,2020-12-31,4550000000.0,31436000000.0,119000000.0,13.312870921682723
1335,KMI,2019-12-31,4748000000.0,33742000000.0,2190000000.0,-39.077645322762656
1336,KMI,2018-12-31,5043000000.0,33678000000.0,1609000000.0,-47.99159989834272
1337,KLAC,2022-06-30,3312702000.0,1401351000.0,3321807000.0,284.82036989499676
1338,KLAC,2021-06-30,2185026000.0,3377554000.0,2078292000.0,395.7360767452874
1339,KLAC,2020-06-30,1778850000.0,2665424000.0,1216785000.0,295.31430624385814
1340,KLAC,2019-06-30,1152632000.0,2659108000.0,1175617000.0,133.49455940625194
1341,KLAC,2018-06-30,1229120000.0,1620511000.0,802265000.0,164.19230433840883
1342,KHC,2022-12-31,2469000000.0,48678000000.0,2363000000.0,-33.572285542891414
1343,KHC,2021-12-31,5364000000.0,49298000000.0,1012000000.0,-48.54069136473329
1344,KHC,2020-12-31,4929000000.0,50103000000.0,356000000.0,-41.186334970709986
1345,KHC,2019-12-31,3552000000.0,51623000000.0,1935000000.0,0.0
